ParticipantID,Trial,Response
P72,Trial1,Correct
P72,Trial2,Correct
P72,Trial3,Correct
P72,Trial4,Correct
P72,Trial5,Fooled
P72,Trial6,Fooled
P73,Trial1,Correct
P73,Trial2,Correct
P73,Trial3,Correct
P73,Trial4,Correct
P73,Trial5,Fooled
P73,Trial6,Correct
P74,Trial1,Correct
P74,Trial2,Correct
P74,Trial3,Correct
P74,Trial4,Correct
P74,Trial5,Fooled
P74,Trial6,Correct
P75,Trial1,Correct
P75,Trial2,Fooled
P75,Trial3,Correct
P75,Trial4,Fooled
P75,Trial5,Correct
P75,Trial6,Correct
P76,Trial1,Correct
P76,Trial2,Fooled
P76,Trial3,Correct
P76,Trial4,Fooled
P76,Trial5,Correct
P76,Trial6,Fooled
P77,Trial1,Correct
P77,Trial2,Fooled
P77,Trial3,Correct
P77,Trial4,Correct
P77,Trial5,Fooled
P77,Trial6,Correct
P78,Trial1,Correct
P78,Trial2,Fooled
P78,Trial3,Correct
P78,Trial4,Correct
P78,Trial5,Fooled
P78,Trial6,Correct
P79,Trial1,Correct
P79,Trial2,Fooled
P79,Trial3,Fooled
P79,Trial4,Correct
P79,Trial5,Correct
P79,Trial6,Correct
P80,Trial1,Correct
P80,Trial2,Fooled
P80,Trial3,Correct
P80,Trial4,Fooled
P80,Trial5,Fooled
P80,Trial6,Correct
P81,Trial1,Correct
P81,Trial2,Fooled
P81,Trial3,Fooled
P81,Trial4,Fooled
P81,Trial5,Correct
P81,Trial6,Correct
P82,Trial1,Correct
P82,Trial2,Fooled
P82,Trial3,Correct
P82,Trial4,Fooled
P82,Trial5,Fooled
P82,Trial6,Fooled
P83,Trial1,Correct
P83,Trial2,Fooled
P83,Trial3,Correct
P83,Trial4,Correct
P83,Trial5,Fooled
P83,Trial6,Correct
P84,Trial1,Correct
P84,Trial2,Fooled
P84,Trial3,Correct
P84,Trial4,Correct
P84,Trial5,Correct
P84,Trial6,Correct
P85,Trial1,Correct
P85,Trial2,Fooled
P85,Trial3,Correct
P85,Trial4,Fooled
P85,Trial5,Correct
P85,Trial6,Correct
P86,Trial1,Correct
P86,Trial2,Fooled
P86,Trial3,Correct
P86,Trial4,Correct
P86,Trial5,Fooled
P86,Trial6,Correct
P87,Trial1,Correct
P87,Trial2,Fooled
P87,Trial3,Correct
P87,Trial4,Fooled
P87,Trial5,Fooled
P87,Trial6,Correct
