ParticipantID,Trial,AOI,ImageType,Duration_ms
P15,Trial4,Topping1,Real,3025
P15,Trial4,Topping2,AI,675
P15,Trial4,Topping2,Real,175
P15,Trial4,Total,AI,3671
P15,Trial4,Total,Real,3725
P15,Trial5,Cloud,AI,4400
P15,Trial5,Cloud,Real,3975
P15,Trial5,Total,AI,8659
P15,Trial5,Total,Real,7004
P15,Trial5,Water,AI,4258
P15,Trial5,Water,Real,3029
P15,Trial6,Leaves,AI,1325
P15,Trial6,Leaves,Real,458
P15,Trial6,Seed,AI,1475
P15,Trial6,Seed,Real,1571
P15,Trial6,Total,AI,3571
P15,Trial6,Total,Real,2579
P16,Trial1,Pupil,AI,250
P16,Trial1,Pupil,Real,583
P16,Trial1,Skin,AI,0
P16,Trial1,Skin,Real,0
P16,Trial1,Total,AI,1775
P16,Trial1,Total,Real,954
P16,Trial2,Hair,AI,350
P16,Trial2,Hair,Real,0
P16,Trial2,Outfit,AI,0
P16,Trial2,Outfit,Real,0
P16,Trial2,Total,AI,917
P16,Trial2,Total,Real,1513
P16,Trial3,Mountain,AI,425
P16,Trial3,Mountain,Real,192
P16,Trial3,River,AI,917
P16,Trial3,River,Real,650
P16,Trial3,Total,AI,2054
P16,Trial3,Total,Real,1292
P16,Trial4,Topping1,AI,1021
P16,Trial4,Topping1,Real,3067
P16,Trial4,Topping2,AI,1242
P16,Trial4,Topping2,Real,963
P16,Trial4,Total,AI,3188
P16,Trial4,Total,Real,3771
P16,Trial5,Cloud,AI,1150
P16,Trial5,Cloud,Real,533
P16,Trial5,Total,AI,2817
P16,Trial5,Total,Real,3838
P16,Trial5,Water,AI,1667
P16,Trial5,Water,Real,3304
P16,Trial6,Leaves,AI,358
P16,Trial6,Leaves,Real,0
P16,Trial6,Seed,AI,1600
P16,Trial6,Seed,Real,871
P16,Trial6,Total,AI,1996
P16,Trial6,Total,Real,871
P17,Trial1,Pupil,AI,404
P17,Trial1,Pupil,Real,900
P17,Trial1,Skin,AI,0
P17,Trial1,Skin,Real,333
P17,Trial1,Total,AI,1496
P17,Trial1,Total,Real,2217
P17,Trial2,Hair,AI,933
P17,Trial2,Hair,Real,633
P17,Trial2,Outfit,AI,0
P17,Trial2,Outfit,Real,63
P17,Trial2,Total,AI,1075
P17,Trial2,Total,Real,1196
P17,Trial3,Mountain,AI,817
P17,Trial3,Mountain,Real,1254
P17,Trial3,River,AI,1150
P17,Trial3,River,Real,1050
P17,Trial3,Total,AI,2142
P17,Trial3,Total,Real,2704
P17,Trial4,Topping1,AI,1050
P17,Trial4,Topping1,Real,333
P17,Trial4,Topping2,AI,383
P17,Trial4,Topping2,Real,967
P17,Trial4,Total,AI,1925
P17,Trial4,Total,Real,967
P17,Trial5,Cloud,AI,313
P17,Trial5,Cloud,Real,675
P17,Trial5,Total,AI,1158
P17,Trial5,Total,Real,1892
P17,Trial5,Water,AI,846
P17,Trial5,Water,Real,1217
P17,Trial6,Leaves,AI,517
P17,Trial6,Leaves,Real,0
P17,Trial6,Seed,AI,1033
P17,Trial6,Seed,Real,1567
P17,Trial6,Total,AI,1833
P17,Trial6,Total,Real,1567
P18,Trial1,Pupil,AI,800
P18,Trial1,Pupil,Real,150
P18,Trial1,Skin,AI,0
P18,Trial1,Skin,Real,0
P18,Trial1,Total,AI,863
P18,Trial1,Total,Real,500
P18,Trial2,Hair,AI,996
P18,Trial2,Hair,Real,1104
P18,Trial2,Outfit,AI,0
P18,Trial2,Outfit,Real,0
P18,Trial2,Total,AI,1538
P18,Trial2,Total,Real,1288
P18,Trial3,Mountain,AI,758
P18,Trial3,Mountain,Real,888
P18,Trial3,River,AI,467
P18,Trial3,River,Real,508
P18,Trial3,Total,AI,1733
P18,Trial3,Total,Real,1596
P18,Trial4,Topping1,AI,1250
P18,Trial4,Topping1,Real,917
P18,Trial4,Topping2,AI,608
P18,Trial4,Topping2,Real,742
P18,Trial4,Total,AI,2208
P18,Trial4,Total,Real,1658
P18,Trial5,Cloud,AI,2133
P18,Trial5,Cloud,Real,1517
P18,Trial5,Total,AI,4183
P18,Trial5,Total,Real,3529
P18,Trial5,Water,AI,2050
P18,Trial5,Water,Real,2013
P18,Trial6,Leaves,AI,667
P18,Trial6,Leaves,Real,308
P18,Trial6,Seed,AI,963
P18,Trial6,Seed,Real,488
P18,Trial6,Total,AI,1629
P18,Trial6,Total,Real,796
P19,Trial1,Pupil,AI,175
P19,Trial1,Pupil,Real,167
P19,Trial1,Skin,AI,0
P19,Trial1,Skin,Real,0
P19,Trial1,Total,AI,1179
P19,Trial1,Total,Real,600
P19,Trial2,Hair,AI,667
P19,Trial2,Hair,Real,925
P19,Trial2,Outfit,AI,0
P19,Trial2,Outfit,Real,0
P19,Trial2,Total,AI,667
P19,Trial2,Total,Real,1267
P19,Trial3,Mountain,AI,525
P19,Trial3,Mountain,Real,713
P19,Trial3,River,AI,825
P19,Trial3,River,Real,108
P19,Trial3,Total,AI,1575
P19,Trial3,Total,Real,963
P19,Trial4,Topping1,AI,800
P19,Trial4,Topping1,Real,3458
P19,Trial4,Topping2,AI,508
P19,Trial4,Topping2,Real,883
P19,Trial4,Total,AI,2983
P19,Trial4,Total,Real,4833
P19,Trial5,Cloud,AI,1313
P19,Trial5,Cloud,Real,600
P19,Trial5,Total,AI,1521
P19,Trial5,Total,Real,1042
